ticker,cluster_date,n_insiders,has_ceo,has_cfo,dd_52w,abnormal_5d
AHCO,2022-03-08,4,True,True,-56.64934926218801,-3.5445364006261677
UTZ,2022-03-08,5,True,True,-51.52308641422165,-6.155212493690256
KBNT,2022-03-08,3,False,False,-77.85630099040597,-0.7625278246372689
FSK,2022-03-09,3,False,False,-1.845456152141689,-5.637138297662784
JHG,2022-03-09,3,False,False,-33.396140016509534,6.586807321758901
DASH,2022-03-10,29,False,False,-63.5524653083861,5.487208666785462
FRST,2022-03-10,3,True,True,-13.07339785889835,-4.295929873501732
COTY,2022-03-14,3,True,False,-27.189781101290222,0.3653212405463337
SNCR,2022-03-15,5,True,True,,1.3209271824596431
FRSH,2022-03-15,10,False,False,-66.30845710412781,5.05776086904824
PCOR,2022-03-16,7,False,False,-45.67680015970309,-0.8316780230450433
ASPS,2022-03-17,6,True,False,-19.172411951525458,21.22867912536152
CFLT,2022-03-18,3,False,False,,1.1208496388412512
CPNG,2022-03-21,3,False,False,-61.803442828160215,-11.3042103611773
KODK,2022-03-22,13,False,False,-45.79185821063947,5.875075426624723
ANIP,2022-03-22,3,True,False,-51.662268637094854,2.8077172534906243
LMB,2022-03-24,4,True,True,-41.34948128286351,4.743207313546801
FMCB,2022-03-25,4,False,False,-13.36799494632026,0.6600279769494508
LCTX,2022-03-25,3,True,False,-50.66666603088379,8.088261553057373
SXT,2022-03-25,3,False,False,-22.732274108003814,4.244992779241003
KFS,2022-03-28,6,True,True,-5.02599588928353,1.7524494452785162
ANTX,2022-03-31,9,False,False,,-2.5036171171994543
LCII,2022-04-01,4,True,False,-32.348947229842786,-3.5634607488149475
NAVI,2022-04-04,7,False,False,-28.051735450053073,-3.8050630665057534
TELA,2022-04-04,4,False,False,-30.16760041106854,-3.629011160366192
CGEM,2022-04-05,10,False,False,-66.22147799888658,-11.80372907108108
VERA,2022-04-05,4,False,False,-35.251394415730616,0.6161630545938097
HPQ,2022-04-06,3,False,False,-12.37453420034913,-4.075388760861729
GRPN,2022-04-07,3,False,False,-62.04601820391809,0.9887209933037664
BRZE,2022-04-08,8,False,False,-61.18309492826781,15.543054330853728
QRHC,2022-04-08,8,False,False,-23.969073178525125,7.857055040916436
BDSX,2022-04-11,3,False,False,-91.7914301140754,-28.742132940860635
CXM,2022-04-13,5,False,False,-40.06663804187349,-4.4787518409272975
NYC,2022-04-13,6,False,False,0.0,-2.793074286394148
WULF,2022-04-13,4,True,False,-83.64272931753682,-13.089823867824464
TRVI,2022-04-13,11,False,False,-6.711410953141472,1.1578525531302613
LYRA,2022-04-14,13,False,False,-35.70205479452054,-11.561786965699454
IHRT,2022-04-15,5,False,False,-31.077694988665172,-7.069885339215601
CRNX,2022-04-18,3,False,False,-19.253781565411586,-0.6128647043909248
EE,2022-04-20,6,True,False,,19.29060960582654
NNBR,2022-04-21,5,False,False,-70.75773700104742,10.898429780683554
AFRM,2022-04-21,3,False,False,-80.47709429636221,-0.254977021473539
AMWL,2022-04-22,3,False,False,-82.1676449644001,-8.225762923447924
XRX,2022-04-25,3,False,False,-26.875414845133083,0.4465994957958091
