sym,announce_day,year,abn_window,abn_day
PG,2025-04-24,2025,-0.05684605772768647,-0.05845912673143905
PG,2025-01-22,2025,0.016282818158569468,0.013052890787340399
PG,2024-10-18,2024,-0.012316560725558312,-0.0038056529799159744
PG,2024-07-30,2024,-0.06506910356588602,-0.043365056447656425
PG,2024-04-19,2024,0.020262097713300564,0.014132460893282461
PG,2024-01-23,2024,0.02479813341605719,0.038473895846524275
PG,2023-10-18,2023,0.04199788432804519,0.039101172331276524
PG,2023-07-28,2023,0.015832797171412505,0.018478304719801608
PG,2023-04-21,2023,0.03463923614003561,0.033826773788612874
PG,2023-01-19,2023,-0.02858192697640627,-0.013868435175890426
PG,2022-10-19,2022,0.011682857677572156,0.01635678759487247
PG,2022-07-29,2022,-0.04642523243590557,-0.07637809447252697
PG,2022-04-20,2022,0.041480694055104905,0.02733907418215953
PG,2022-01-19,2022,0.06054244531438702,0.04400842941751293
PG,2021-10-19,2021,-0.019611151939692206,-0.01951703789462489
PG,2021-07-30,2021,0.02415139428015467,0.024572844784246595
PG,2021-04-20,2021,-0.00031397666049470807,0.01566676767558517
PG,2021-01-20,2021,-0.02823425569686122,-0.0263384865933598
PG,2020-10-20,2020,0.007337335934723299,1.0750901795697487e-05
PG,2020-07-30,2020,0.017594151621399767,0.02780590652310444
PG,2020-04-17,2020,-0.016328629356790025,-0.0007602437965912312
PG,2020-01-23,2020,0.004379560601340038,-0.005718304862733281
KO,2026-04-28,2026,0.05048633637728661,0.04343959584560242
KO,2026-02-10,2026,0.010947595767285212,-0.012240433363480019
KO,2025-10-21,2025,0.03984244614130805,0.04063443940966305
KO,2025-07-22,2025,-0.021638634617150654,-0.005994202331109033
KO,2025-04-29,2025,0.0038876284440862996,0.0015010255439302789
KO,2025-02-11,2025,0.0669094265061928,0.04648968599857817
KO,2024-10-23,2024,-0.023962932831805173,-0.011596688701257518
KO,2024-07-23,2024,0.04025260626510241,0.004502202147762424
KO,2024-04-30,2024,0.017263801497170883,0.01148902326551049
KO,2024-02-13,2024,-0.0020570781691917617,0.007910393622364897
KO,2023-10-24,2023,0.04464264252284278,0.02130663060286553
KO,2023-07-26,2023,0.009529627828698484,0.01269772267939806
KO,2023-04-24,2023,0.011724653749962788,-0.002604536866135043
KO,2023-02-14,2023,-0.019452289334076833,-0.01620642887993562
KO,2022-10-25,2022,0.02329974851654315,0.008002520533795021
KO,2022-07-26,2022,-0.0006430099382375154,0.028232331518381337
KO,2022-04-25,2022,0.02026638528452085,0.00477734461601087
KO,2022-02-10,2022,0.02504308184819448,0.023535935599800606
KO,2021-10-27,2021,0.02364748468256961,0.023706880526652707
KO,2021-07-21,2021,0.0012560061898267971,0.004799584589572747
KO,2021-04-19,2021,0.021326854770553627,0.010874117319402465
KO,2021-02-10,2021,0.010893987139130479,-0.0015762218691538488
KO,2020-10-22,2020,0.0017031055623413227,0.00831766028636971
KO,2020-07-21,2020,0.04333912007265428,0.021289596213477813
KO,2020-04-21,2020,-0.009425449230484717,0.005647789384431445
KO,2020-01-30,2020,0.03935321502437328,0.02920518562752905
PEP,2026-04-16,2026,0.003638441899264544,0.020338897045059312
PEP,2026-02-03,2026,0.08400571545019886,0.05774670197398524
PEP,2025-10-09,2025,0.11080303106761313,0.04517598107757048
PEP,2025-07-17,2025,0.05291048359231665,0.06842772158273758
PEP,2025-04-24,2025,-0.09084715183870506,-0.06990318920716099
PEP,2025-02-04,2025,-0.041468313149675806,-0.051827031197397844
PEP,2024-10-08,2024,0.015426608922502805,0.009739872051683252
PEP,2024-07-11,2024,0.019424274688232268,0.010823259210586023
PEP,2024-04-23,2024,-0.006002975796467025,-0.04156184381268746
PEP,2024-02-09,2024,-0.023974654694385866,-0.041327276636109356
PEP,2023-10-10,2023,-0.0015139208509942215,0.013634933159477836
PEP,2023-07-13,2023,0.020206392623779657,0.015866209338810444
PEP,2023-04-25,2023,0.0364302206679189,0.038569239806152456
PEP,2023-02-09,2023,0.03580204838388312,0.018134092600763707
PEP,2022-10-12,2022,0.050922403581856734,0.04512148456991927
PEP,2022-07-12,2022,0.011883380223476236,0.003158907520941945
PEP,2022-04-26,2022,0.032619300792187333,0.02642841384004524
PEP,2022-02-10,2022,0.017788348299076717,-0.00279760043398547
PEP,2021-10-05,2021,0.01708704449691978,-0.0044797693915630266
PEP,2021-07-13,2021,0.035564911117909825,0.02648441593513473
PEP,2021-04-15,2021,0.00030445182351512834,-0.009335504770353609
PEP,2021-02-11,2021,-0.03437662387392393,-0.021440801198096993
PEP,2020-10-01,2020,-0.0007608235945699704,0.009452516098794161
PEP,2020-07-13,2020,0.0036951736639221355,0.012005879870119363
PEP,2020-04-28,2020,-0.029640606209233922,0.018431852707590624
PEP,2020-02-13,2020,0.005695944575460077,0.003736490201951548
DIS,2026-05-06,2026,0.07061851884144521,0.061538398417446016
DIS,2026-02-02,2026,-0.07253777482472945,-0.0789962369324394
DIS,2025-11-13,2025,-0.0762584000406814,-0.06090276735181632
DIS,2025-08-06,2025,-0.05279266299988483,-0.034282456011996865
DIS,2025-05-07,2025,0.12929856997103406,0.10342166008801046
DIS,2025-02-05,2025,-0.01822403299317199,-0.028414726556905356
DIS,2024-11-14,2024,0.13948356285371033,0.06873549373863752
DIS,2024-08-07,2024,-0.060849274270507236,-0.03788635644018579
DIS,2024-05-07,2024,-0.09590251150385076,-0.09623525821151369
DIS,2024-02-08,2024,0.08707885329573051,0.11454721047993233
DIS,2023-11-09,2023,0.03693105007057551,0.07691129990735113
DIS,2023-08-10,2023,0.017712034923851427,0.04844650642823933
DIS,2023-05-11,2023,-0.0874169869084227,-0.08556075259089724
DIS,2023-02-09,2023,-0.026923883307277685,-0.0040341953525154794
DIS,2022-11-09,2022,-0.12771454524023274,-0.1110297832043663
DIS,2022-08-11,2022,0.0643661028460103,0.04678477847524287
DIS,2022-05-12,2022,-0.002688802015312408,-0.007510508519619874
DIS,2022-02-10,2022,0.05254439033922853,0.05145079817820242
DIS,2021-11-11,2021,-0.09282534547804278,-0.07106019384008933
DIS,2021-08-13,2021,-0.005294352951188297,0.00816402336157207
DIS,2021-05-14,2021,-0.059087908262950184,-0.04137303256332714
DIS,2021-02-12,2021,-0.027955099155813845,-0.021911020625833943
